sample,Sex,Mission Length Weeks,Diet,Group
CC2_13_6_74879,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_278923,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_688827,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_929458,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_401490,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_546420,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_250758,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_719311,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_539569,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_895856,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_371261,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_91646,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_330273,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_977660,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_303283,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_590052,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_213071,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_830380,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_756438,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_12608,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_33759,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_350309,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_355479,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_591774,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_632865,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_57902,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_925221,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_600714,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_615899,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_272737,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_843550,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_486327,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_950096,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_538933,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_414996,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_898252,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_957797,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_433637,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_611349,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_934707,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_931959,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_11650,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_345604,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_973053,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_402144,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_914060,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_68808,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_808953,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_845375,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_407453,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_757028,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_813780,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_949917,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_959715,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_941336,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_437875,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_404623,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_198391,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_16213,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_206235,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_333979,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_682024,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_618988,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_269268,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_455473,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_898962,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_340758,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_550374,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_902198,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_919729,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_447832,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_715130,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_602488,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_798339,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_645383,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_39785,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_567131,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_352732,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_285211,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_652339,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_487387,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_172258,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_229806,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_96444,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_156048,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_806074,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_199141,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_376380,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_34379,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_541990,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_672531,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_665898,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_623379,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_342816,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_775357,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_429431,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_265389,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_326311,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_487227,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_841193,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_731042,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_988523,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_124160,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_737815,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_542062,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_774938,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_633408,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_506199,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_153645,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_570418,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_515602,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_939807,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_177296,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_1098,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_617424,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_679153,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_708987,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_484398,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_11_6_320205,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_12_6_954171,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC2_13_6_566906,male,10,Standard chow (LabDiet5k52),Cohort Control 2
CC1_6_4_356595,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_16707,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_158552,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_551785,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_655932,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_909819,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_415875,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_240142,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_930351,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_53902,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_954654,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_44151,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_491890,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_525935,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_655601,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_465463,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_116616,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_947660,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_448833,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_453249,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_608500,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_265440,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_119975,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_654408,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_161781,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_858011,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_90652,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_30159,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_30752,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_272846,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_549372,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_178075,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_843517,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_573177,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_828049,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_789455,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_883047,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_587642,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_807701,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_19659,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_977273,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_48167,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_401045,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_617186,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_509494,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_969187,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_37475,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_731092,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_749062,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_324417,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_139087,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_559205,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_909622,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_496718,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_894233,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_670969,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_752,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_38974,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_332295,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_311893,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_425580,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_355809,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_547845,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_644936,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_625325,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_940592,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_479675,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_580050,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_118188,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_500193,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_34438,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_206880,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_113712,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_225621,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_532535,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_387900,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_694824,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_385676,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_544649,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_681583,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_196427,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_922017,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_249455,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_360347,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_780172,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_223184,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_179593,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_654672,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_93692,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_816724,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_762358,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_693456,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_131609,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_638111,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_866436,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_754743,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_826273,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_114870,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_668142,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_228689,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_307363,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_225922,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_636525,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_366078,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_117372,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_302764,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_482435,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_804096,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_481821,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_911712,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_676432,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_431049,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_86222,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_196451,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_460494,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_538498,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_786637,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_171173,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_869031,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_336464,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_84122,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_519612,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_857217,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_176881,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_527520,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_723606,male,10,Standard chow (LLU),Cohort Control 1
CC1_6_4_135638,male,10,Standard chow (LLU),Cohort Control 1
CC1_7_4_529888,male,10,Standard chow (LLU),Cohort Control 1
CC1_8_4_603353,male,10,Standard chow (LLU),Cohort Control 1
